Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-823.3118	68.702225	-690.7577	-886.4	12.083333	0.74915487	0.34227875	2.063906	0.0	600	0.009467499	587216.2	-0.002364919	-6132.5625	2.6013927	5.278508e-05	1.0292003154754639
1	-852.0755	59.451866	-712.7209	-915.2633	8.236111	-3.2461705	0.96313864	-0.7246474	-3.9664862	1200	-0.010123381	648279.7	-0.0019832645	-5807.5	2.624106	0.00047388175	1.558007001876831
2	-854.51807	42.837162	-721.28424	-929.2461	8.681159	-6.958882	1.8894892	-1.7907069	-8.032341	1800	-0.007045574	690633.5	-0.0015072827	-4766.625	2.6400182	0.00045335173	2.103146553039551
3	-846.5296	61.62146	-653.9694	-936.8718	8.328571	-9.840182	2.4313831	-3.2099133	-10.760747	2400	-0.058985	620892.3	-0.0017137788	-3945.75	2.6378083	0.00022627712	2.6414177417755127
4	-846.33514	60.695694	-645.2422	-948.1079	12.5	-12.730445	2.285854	-4.9819913	-13.418035	3000	0.004691151	658514.94	-0.0015969039	-4438.0	2.6781194	3.7607155e-05	3.168508529663086
5	-844.5646	56.92351	-701.9605	-902.91895	10.473684	-15.329056	2.773934	-6.8498945	-16.242073	3600	-0.020629227	643294.4	-0.0012161732	-4338.0625	2.7135239	0.00067062915	3.6394500732421875
6	-834.75037	63.965397	-649.4388	-906.8326	13.0	-18.207031	2.6359909	-9.195952	-19.006203	4200	-0.014038914	609055.0	-0.0016344571	-4203.25	2.694929	0.00012328505	4.136673450469971
7	-846.1134	75.13382	-469.03583	-905.9296	8.263889	-20.411966	3.318591	-11.607399	-21.720592	4800	0.013161174	567295.56	-0.001099796	-3963.0	2.7123573	-0.0002683143	4.644284725189209
8	-837.2796	68.42029	-651.7684	-898.19183	13.902439	-23.60596	2.4506817	-14.673398	-24.280235	5400	0.0049091284	580061.9	-0.001215965	-3856.875	2.6299188	-1.325965e-05	5.159008264541626
9	-854.94745	56.632694	-641.84314	-909.747	7.9589043	-25.709435	3.1629915	-17.27662	-26.898485	6000	-0.023358503	603922.9	-0.0014031865	-4172.8125	2.6832156	0.000164692	5.689444541931152
10	-831.9225	72.0839	-551.60297	-905.37555	9.933333	-28.643015	2.6987295	-20.620943	-29.552956	6600	-0.05450212	561578.75	-0.0019005127	-3974.0625	2.664424	0.00034770847	6.444490909576416
11	-836.15314	70.62806	-622.2805	-893.4708	12.886364	-31.551647	2.2278059	-23.72787	-32.186916	7200	-0.027295422	539796.44	-0.0006331187	-3662.5625	2.6352541	-0.000433865	6.974075555801392
12	-839.2486	72.22059	-553.8072	-934.62634	9.810345	-33.941616	2.4476278	-26.529938	-34.751102	7800	-0.052978925	523018.28	-0.0013091192	-3599.2812	2.6917121	7.825752e-05	7.505706310272217
13	-835.7627	64.46044	-602.0742	-900.7323	13.311111	-36.681816	2.052322	-29.55951	-37.273804	8400	-0.05128696	580550.1	-0.0016447008	-4166.25	2.6088758	0.000101056896	8.037539005279541
14	-829.0164	76.39495	-654.76917	-907.1907	12.434783	-39.421867	1.9957078	-32.57629	-40.004253	9000	0.034491222	524361.7	-0.0010393336	-3653.625	2.6635263	8.382956e-05	8.571476697921753
15	-837.8274	68.93147	-624.24347	-886.4	9.4262295	-41.847317	2.1596656	-35.485504	-42.581276	9600	-0.025015106	500178.56	-0.0010805819	-3549.1875	2.6735373	-0.00018894016	9.113861799240112
