Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-858.68896	44.323105	-688.42145	-890.20966	4.8898306	0.4313923	0.33784792	1.3340874	-0.18274167	600	1.66893e-07	614961.6	-0.044269633	-6109.0625	0.0095513845	0.0	0.689436674118042
1	-841.0751	68.39245	-609.11066	-889.4787	8.953125	-4.0627728	1.2047805	-0.6504725	-5.086879	1200	-6.635984e-08	543071.4	-0.02333895	-4866.4375	0.0060056183	2.0	1.0721909999847412
2	-853.6646	58.35229	-559.59125	-927.4145	6.818182	-7.191716	2.4292703	-1.3876977	-8.338602	1800	6.0598055e-08	596185.5	-0.038824134	-4431.0625	0.0068682116	0.0	1.44761323928833
3	-831.4784	76.19485	-665.76135	-891.2892	12.297873	-10.711451	2.3287601	-2.8273284	-11.437017	2400	-1.7484028e-08	520302.72	-0.030367743	-3797.9688	0.0085195415	0.0	1.8215723037719727
4	-843.43536	64.640114	-625.3017	-891.2378	9.0	-13.108924	3.115371	-4.3243785	-14.233466	3000	2.0464262e-07	572911.06	-0.02901314	-4158.75	0.0086362045	0.0	2.1879947185516357
5	-827.9151	79.54169	-634.1655	-891.32	10.581819	-16.095287	3.0628421	-6.5493827	-17.083082	3600	1.8239021e-07	498271.3	-0.03741999	-3661.9375	0.0065834927	0.0	2.5499420166015625
6	-836.89716	81.65397	-497.47284	-889.91504	8.081081	-18.405619	3.5889308	-8.910598	-19.77006	4200	8.7022784e-08	490133.53	-0.026115403	-3717.6875	0.0067453417	1.0	2.9188175201416016
7	-828.88104	82.349365	-613.98535	-888.5005	10.818182	-21.420782	3.0645447	-11.869487	-22.408302	4800	-7.828077e-08	497958.94	-0.025180776	-3801.2812	0.008850532	0.0	3.2831528186798096
8	-808.7302	118.50705	-362.5384	-889.91095	10.5	-24.064297	3.0682619	-14.678042	-25.125866	5400	1.056989e-07	385776.44	-0.030139655	-2943.4375	0.007950055	0.0	3.6411468982696533
9	-811.6411	123.23062	-399.7411	-889.87604	9.728813	-26.493425	3.0452163	-17.357859	-27.51085	6000	-7.390976e-08	380684.44	-0.037129838	-2868.5312	0.008156535	0.0	4.003937721252441
10	-810.5356	110.88564	-482.2737	-887.65027	10.321428	-28.95716	2.8351738	-20.206598	-29.878305	6600	-9.059906e-08	397905.84	-0.02834127	-3088.6562	0.00789464	0.0	4.483530521392822
11	-794.66254	126.64989	-442.38602	-887.84454	12.085107	-31.62136	2.5039694	-23.130009	-32.36087	7200	1.1920929e-08	358781.94	-0.03400382	-2796.875	0.007844822	0.0	4.839886903762817
12	-785.9186	156.00948	-215.69821	-889.2757	11.301887	-33.95474	2.54989	-25.858494	-34.766796	7800	1.1603038e-07	359616.38	-0.032468427	-2865.3438	0.008780758	0.0	5.205101728439331
13	-762.2063	190.04779	-129.79736	-890.33	11.755102	-36.49034	2.3416872	-28.723911	-37.197796	8400	-1.1285146e-07	279108.72	-0.024421467	-2152.3125	0.0055618584	1.0	5.567752122879028
14	-785.1271	175.73746	-151.29942	-890.2093	9.375	-38.483654	2.4825816	-31.29918	-39.342594	9000	-6.4969065e-08	291491.34	-0.035379346	-2347.5625	0.006854291	0.0	5.9308388233184814
15	-704.22363	231.38333	-157.79022	-889.406	13.55814	-41.007675	1.9311079	-34.14306	-41.55181	9600	-5.4836274e-08	197674.3	-0.03551278	-1571.1406	0.006829263	0.0	6.2751805782318115
16	-770.8049	189.65762	-249.81741	-889.7442	9.85	-42.718475	2.1416917	-36.352226	-43.440315	10200	-7.192294e-08	260731.73	-0.030896133	-2089.2812	0.0068691554	0.0	6.607177495956421
17	-755.1254	197.93277	-278.95364	-890.1633	10.759259	-44.97332	1.9022087	-38.98542	-45.57818	10800	3.1789145e-09	228634.08	-0.028143117	-1890.9844	0.009454092	0.0	6.971791982650757
18	-728.5782	226.88658	-204.0515	-889.0791	11.538462	-47.129997	1.7401162	-41.481064	-47.666534	11400	3.0994414e-08	205871.81	-0.029828072	-1704.8906	0.007022233	1.0	7.330721855163574
19	-669.5422	251.4504	-145.3536	-888.99426	14.589744	-49.2865	1.4577559	-43.83208	-49.67643	12000	-4.2915346e-08	153883.48	-0.028695004	-1261.9688	0.009177937	0.0	7.687097787857056
20	-687.6421	250.90811	-194.36295	-890.7269	13.311111	-51.019722	1.5019581	-45.807373	-51.452812	12600	5.5631002e-08	154978.94	-0.027457634	-1347.0469	0.0077736555	0.0	8.178049325942993
21	-706.06946	269.44952	-113.761856	-887.52405	10.942307	-52.809372	1.5345395	-47.879547	-53.287712	13200	-6.198883e-08	161316.56	-0.033653572	-1153.3594	0.008185005	0.0	8.526516914367676
