Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-629.5931	214.67172	-146.86143	-867.91583	20.448277	-0.24921219	0.71231526	2.743937	-2.5150833	600	-1.748403e-07	268056.38	-0.040446937	-3502.625	0.00853815	0.0	0.7137489318847656
1	-605.37134	233.08932	-151.93314	-877.4686	19.827587	-3.6941476	0.70306754	-0.07236626	-5.4127345	1200	7.708867e-08	221676.5	-0.0483747	-3105.4062	0.007833874	0.0	1.102421760559082
2	-564.15924	267.3049	-174.24863	-879.7188	18.67742	-7.329699	1.0128202	-1.6254655	-8.442285	1800	-4.4902166e-08	168056.08	-0.05668539	-2349.25	0.008868384	0.0	1.4959077835083008
3	-346.70288	293.92252	-34.367302	-860.9971	20.428572	-10.603124	1.6522398	0.11696565	-11.456935	2400	-9.536743e-09	44192.48	-0.055965554	-668.6211	0.0072442982	0.0	1.8796820640563965
4	-272.95404	166.76935	-54.89776	-858.8979	27.52381	-12.413533	1.3464166	-0.23478739	-13.171123	3000	1.9311905e-07	67701.055	-0.028372478	-882.4375	0.0076237964	0.0	2.2503726482391357
5	-242.29745	241.31174	-34.360584	-859.3896	23.56	-14.565798	1.5938879	-2.7280443	-15.415035	3600	-6.357829e-09	33338.375	-0.04480459	-453.75	0.0062394077	0.0	2.6293370723724365
6	-262.3343	226.74629	-40.517372	-863.0135	25.304348	-15.851387	1.9754698	-2.1301146	-16.860006	4200	5.4041546e-08	64796.81	-0.038887043	-792.91406	0.005415692	0.0	2.9923765659332275
7	-183.31294	162.11542	-44.443455	-837.4653	25.608696	-18.065123	1.8687128	-0.77606523	-18.82243	4800	-7.073084e-08	27701.73	-0.04731754	-468.66016	0.0065980623	0.0	3.3667407035827637
8	-185.95204	121.911606	-42.815777	-516.6952	27.47619	-19.649405	1.7942266	-7.24828	-20.575369	5400	-9.338061e-08	46708.42	-0.03908567	-633.15234	0.00572198	0.0	3.7510218620300293
9	-182.95844	153.39209	-63.684643	-821.5991	25.565218	-21.625559	1.8771416	-4.255471	-22.433123	6000	7.152557e-09	26463.494	-0.035851046	-445.5	0.006596312	0.0	4.107501268386841
10	-181.82947	206.0642	-39.008606	-846.62524	24.0	-23.453691	1.9268894	-8.122238	-24.172045	6600	5.7220458e-08	17842.68	-0.04240666	-298.82422	0.0069488706	0.0	4.605649709701538
11	-110.81454	74.12391	-35.44358	-392.48822	25.434782	-25.011055	1.7611029	-13.781991	-25.637234	7200	-4.7683717e-08	14582.493	-0.037835322	-249.21973	0.0055932864	0.0	4.964553594589233
12	-100.0009	38.99637	-24.84654	-163.19867	25.173914	-26.331572	1.7472856	-11.942241	-26.910591	7800	-2.6623407e-08	6795.446	-0.035627693	-188.41309	0.0051669637	0.0	5.337002277374268
13	-113.626816	158.7132	-35.54224	-860.5032	23.88	-27.792028	0.9455891	-20.597279	-28.047602	8400	-3.1789146e-08	6459.938	-0.046607554	-109.51514	0.005180962	0.0	5.697390079498291
14	-99.75304	56.347332	-27.37882	-269.27695	25.652174	-28.563227	1.4183568	-9.883186	-29.018682	9000	-1.2318293e-08	8658.989	-0.043109354	-171.37402	0.0045581297	0.0	6.072190046310425
15	-98.118904	48.407898	-37.591553	-224.49747	25.043478	-29.885498	1.1552682	-18.350876	-30.222822	9600	1.5894573e-08	7147.453	-0.03352612	-162.54492	0.004476713	0.0	6.433324337005615
16	-80.07159	36.454666	-21.628355	-148.02754	24.625	-31.224895	0.8846961	-24.89977	-31.439838	10200	1.0808309e-07	3603.385	-0.03247816	-96.13989	0.00767555	0.0	6.793747186660767
17	-78.884575	28.719307	-31.608442	-138.48102	25.217392	-32.089184	1.0753237	-26.829494	-32.39408	10800	2.5232634e-08	2898.5361	-0.031935498	-80.54736	0.0048019215	0.0	7.158205270767212
18	-116.83716	156.09863	-34.98612	-855.2444	23.8	-33.05782	0.9737988	-27.642334	-33.30274	11400	-2.0662943e-08	5822.2144	-0.044069853	-121.29785	0.004159102	0.0	7.518020153045654
19	-67.00894	29.64103	-23.099667	-124.66712	25.130434	-34.15089	1.0876536	-22.841084	-34.422817	12000	-5.0465268e-08	1904.9661	-0.03395806	-48.16626	0.0055342033	0.0	7.879800081253052
20	-78.57672	45.186237	-20.049643	-178.34314	25.217392	-34.89872	1.0310891	-29.97793	-35.16803	12600	3.2981237e-08	3969.1816	-0.034983624	-78.57666	0.0050177234	0.0	8.400954008102417
21	-73.83237	35.54148	-24.031574	-177.81009	24.708334	-35.88417	0.9623054	-30.481316	-36.11291	13200	3.5564106e-08	2775.7642	-0.022309892	-67.59326	0.0053985612	0.0	8.766096830368042
22	-71.159904	31.062351	-24.59027	-145.41922	24.833334	-36.865124	0.8201417	-31.38332	-37.025017	13800	-3.8544336e-08	2151.2717	-0.027907701	-59.132812	0.0044018626	0.0	9.12904977798462
23	-69.93789	30.387941	-20.894392	-137.38713	24.5	-37.751804	0.83596087	-27.229424	-37.886154	14400	-1.8874804e-08	1934.7983	-0.031353172	-51.06543	0.005578915	0.0	9.511788129806519
24	-72.23768	36.798866	-24.510021	-190.31299	25.130434	-38.49371	0.99223435	-32.612915	-38.709465	15000	4.808108e-08	2447.402	-0.03312304	-56.024414	0.006133715	0.0	9.895279169082642
25	-58.00527	21.239246	-21.457441	-103.565445	24.625	-39.489246	0.6378776	-34.695713	-39.581245	15600	4.2120615e-08	764.9001	-0.031997904	-19.355286	0.006501664	0.0	10.26449465751648
26	-75.386635	31.020573	-36.765335	-140.38393	24.791666	-39.91243	1.0210615	-33.986935	-40.132706	16200	4.0332477e-08	2196.2717	-0.022356551	-66.87256	0.0049801585	0.0	10.633368015289307
27	-70.96927	31.802923	-21.031586	-172.59406	24.5	-40.973534	0.8114785	-34.377323	-41.106243	16800	-3.973643e-09	1934.3369	-0.032748286	-53.26648	0.0042181867	0.0	10.99392032623291
28	-67.61291	30.981071	-20.56156	-149.22299	24.791666	-41.8065	1.0749458	-35.053402	-42.02675	17400	9.536743e-09	1709.3633	-0.026975539	-42.493652	0.00757934	0.0	11.385193824768066
29	-152.26517	249.71338	-31.843344	-857.09467	21.88889	-42.7025	0.91275144	-37.39489	-42.86363	18000	-6.357829e-09	4306.1436	-0.054989796	-41.2959	0.0041472265	0.0	11.756729125976562
30	-56.86186	20.971212	-20.509314	-107.258804	24.791666	-43.612175	0.65998864	-38.07753	-43.699852	18600	3.1789146e-08	592.0115	-0.034020286	-12.779053	0.008675944	0.0	12.267209768295288
31	-68.30371	31.458818	-29.817612	-162.50232	24.958334	-43.851795	1.5326315	-26.708694	-44.188637	19200	-6.139278e-08	1683.472	-0.028329914	-42.456787	0.0046540266	0.0	12.63096833229065
32	-51.596394	22.488941	-19.223787	-101.39082	25.0	-44.842102	0.94867283	-39.180412	-45.024708	19800	4.371007e-09	562.2811	-0.029675115	-7.778137	0.009674481	0.0	12.997874736785889
