Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-839.5844	67.14593	-645.2896	-886.4	11.384615	2.307482	0.7437662	3.0771244	0.0	600	-1.3748804e-07	586989.6	-0.028444625	-5642.9375	2.693246	0.0010431026	0.215	79.0	1.1482148170471191
1	-837.3446	62.13363	-651.6892	-886.4	13.547619	-1.4063834	0.2700595	-0.6551682	-2.1712008	1200	-5.5631e-09	582191.8	-0.019765778	-7821.375	2.6951427	0.016656801	0.32833335	18.0	1.6956076622009277
2	-816.54596	77.82503	-649.71545	-886.4	16.2	-6.931203	1.4557686	-1.4409959	-7.7486463	1800	7.6293944e-08	538323.44	-0.018736944	-4115.5625	2.5752501	0.018080143	0.096666664	10.0	2.2363853454589844
3	-806.5498	84.1632	-626.94073	-886.4	16.027779	-9.821713	1.8635617	-2.605408	-10.35489	2400	3.89417e-08	509073.9	-0.035161417	-3618.5312	2.6608346	0.013675827	0.23833333	79.0	2.8529117107391357
4	-769.73804	117.437706	-462.4897	-886.4	19.733334	-12.457957	1.9852362	-4.200917	-12.996944	3000	-1.001358e-07	451529.72	-0.031990115	-3403.625	2.5962157	0.010054296	0.2	79.0	3.5012760162353516
5	-800.2667	114.94538	-516.4313	-886.4	13.523809	-14.870303	2.4678893	-5.9901686	-15.564306	3600	9.099642e-08	420709.38	-0.025943883	-3036.75	2.6363869	0.020954408	0.07666667	14.0	4.007495641708374
6	-738.53564	132.60747	-472.17	-886.4	21.222221	-17.542145	2.0238168	-8.399323	-17.997498	4200	9.377798e-08	365833.97	-0.016806182	-2777.2188	2.602572	0.018825991	0.013333334	10.0	4.52577543258667
7	-746.45654	127.3975	-523.4193	-886.4	21.392857	-19.897469	2.1124887	-10.524577	-20.377373	4800	-1.545747e-07	393599.62	-0.036762122	-3151.0312	2.6227562	0.010191632	0.23166667	79.0	5.152669429779053
8	-750.9011	155.18245	-357.61746	-886.4	17.65625	-22.362543	2.2735162	-12.939234	-22.914768	5400	-3.33786e-08	336135.4	-0.021181999	-2595.25	2.575327	0.015999096	0.115	34.0	5.710957765579224
9	-715.0221	183.02837	-328.7027	-886.4	18.75	-24.71936	2.1719067	-15.56946	-25.238695	6000	5.2452087e-08	303667.66	-0.02308505	-2476.6875	2.5654461	0.0155550875	0.21333334	24.0	6.25515604019165
10	-570.57355	169.85152	-303.34805	-886.4	30.68421	-27.209362	1.6670951	-18.232327	-27.52114	6600	-4.2120615e-08	252767.28	-0.020051617	-2056.5156	2.5054557	0.01772258	0.165	14.0	7.004771709442139
11	-638.5353	221.96358	-108.76407	-886.4	22.0	-29.156895	2.073346	-20.315947	-29.661106	7200	7.6492626e-08	245842.34	-0.0154912	-2009.0938	2.482687	0.019715678	0.18666667	9.0	7.511035919189453
12	-533.99976	258.82693	-110.42933	-886.4	23.96	-31.346094	1.8643525	-22.731441	-31.773556	7800	-6.755193e-08	172823.25	-0.029991902	-1386.9375	2.4385405	0.017301394	0.24	13.0	8.04422640800476
13	-495.18143	321.6285	-65.74309	-886.4	19.862068	-33.135365	1.9075036	-24.82142	-33.575962	8400	7.470449e-08	81552.92	-0.034940243	-592.3906	2.3299568	0.0059865504	0.31666666	79.0	8.667186975479126
14	-528.44336	346.2991	-30.923634	-886.4	16.61111	-34.253376	2.0087113	-26.515694	-34.783657	9000	5.4041546e-08	71872.0	-0.041946404	-483.0	2.2820206	0.0067936303	0.22	79.0	9.277187824249268
15	-382.26508	312.2242	-71.30111	-886.4	22.153847	-35.497272	1.5680426	-28.27389	-35.839302	9600	1.2715658e-08	39572.695	-0.03307672	-311.5039	2.2725282	0.00815908	0.19	79.0	9.933560132980347
16	-369.76715	351.32538	-34.27215	-886.4	20.172413	-36.374832	1.5888524	-29.497879	-36.746574	10200	-7.152557e-09	26184.904	-0.03166509	-160.89648	2.164396	0.0065518953	0.14166667	79.0	10.616264343261719
