Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-839.5844	67.14593	-645.2896	-886.4	11.384615	2.307482	0.7437662	3.0771244	0.0	600	-0.009393692	586989.6	-0.001245562	-5642.9375	2.693246	-0.0007708877	0.7299404144287109
1	-836.1248	62.634197	-685.72723	-898.1644	12.369565	-1.3850497	0.2649637	-0.6551682	-1.8493606	1200	-0.06807438	601981.3	-0.0011606812	-8000.5	2.6577342	0.0006707704	1.1300058364868164
2	-839.27234	56.393803	-703.6161	-902.7688	11.764706	-6.7753477	1.6614072	-1.4789045	-7.7697363	1800	-0.039010342	611270.3	-0.0013384409	-4705.375	2.6525	-4.7845046e-05	1.5195283889770508
3	-828.77344	65.42255	-664.0028	-886.4	13.227273	-9.880327	2.0065713	-2.8709497	-10.511961	2400	-0.0075410684	566856.0	-0.0009119413	-3914.4375	2.6460905	3.1615098e-05	1.9283342361450195
4	-837.1972	70.12762	-639.9051	-886.4	11.725491	-12.430028	2.4248598	-4.5761185	-13.209211	3000	-0.04108591	569576.1	-0.00065239146	-4015.25	2.6469634	-0.00031674287	2.3531644344329834
5	-837.72003	62.378845	-670.9406	-887.28467	10.81132	-15.082544	2.6026707	-6.809423	-15.91398	3600	-0.05980367	566868.25	-0.00074872375	-3883.375	2.645932	0.0004800882	2.7881743907928467
6	-848.2271	58.514942	-678.2366	-887.72516	10.381818	-17.706543	2.674249	-9.37197	-18.570347	4200	-0.019277623	553602.4	-0.000833923	-3832.375	2.654817	-0.00048672975	3.2155649662017822
7	-840.08746	62.367706	-705.9661	-898.30676	11.490196	-20.416845	2.538416	-12.176635	-21.203144	4800	-0.07414737	582153.44	-0.00061363727	-4139.6875	2.61298	0.0005474265	3.632538080215454
8	-838.2706	63.073944	-660.6078	-886.4	12.723404	-23.234573	2.400235	-15.095125	-23.944698	5400	-0.041886013	577694.5	-0.0004671961	-4214.5	2.6813889	-5.717993e-05	4.057441234588623
9	-843.05255	59.71007	-706.163	-910.1441	15.052631	-26.15325	2.1304677	-18.073101	-26.71651	6000	-0.00051769573	568642.75	-0.000415624	-3984.625	2.6326375	-7.4634554e-05	4.473953008651733
10	-831.8594	65.0449	-681.451	-886.4	14.390244	-28.828041	2.1660588	-20.93293	-29.424088	6600	-0.038028337	570855.9	-0.00043450668	-4106.25	2.6237137	4.8983097e-06	5.041098117828369
11	-842.197	60.703583	-650.0797	-903.7764	11.18868	-31.415657	2.3470337	-23.952858	-32.15745	7200	-0.030408356	561607.25	-0.0010978244	-4099.25	2.6694746	0.00034751414	5.439474105834961
12	-838.8535	74.99055	-545.7997	-886.4	9.645162	-34.054474	2.3374677	-27.262196	-34.863785	7800	-0.11247113	525395.5	-0.0013672635	-3891.5938	2.6518416	-0.00016092579	5.828937768936157
13	-816.8274	84.26151	-618.9345	-903.4334	18.75	-37.11886	1.5456808	-30.606842	-37.486595	8400	-0.012534911	536464.25	-0.00041144807	-3901.8125	2.6366498	-0.00015142461	6.234274387359619
