Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-826.25244	96.05451	-369.7491	-912.947	11.875	0.9042603	0.60785973	1.8465309	-0.80966794	600	-0.031698693	542384.6	-0.0026588999	-5962.75	2.763512	0.0002171427	1.0101191997528076
1	-828.9428	72.94035	-638.1614	-886.4	10.472727	-3.292641	0.9298826	-0.5799607	-4.2197084	1200	-0.020966848	545798.0	-0.002080951	-4927.8125	2.7505696	-6.587009e-05	1.5174555778503418
2	-828.80804	77.50796	-537.1076	-895.38684	11.333333	-6.7571583	1.6312335	-1.5672772	-7.7397943	1800	0.026244799	555636.2	-0.0018321183	-4478.875	2.7756145	0.0005719312	2.0501275062561035
3	-812.3697	127.66761	-276.95706	-886.4	11.111111	-9.878482	2.1588228	-3.040525	-10.63151	2400	-0.029751657	477370.12	-0.0014306959	-3500.0312	2.754601	-0.00028443654	2.581918239593506
4	-828.8969	83.254326	-427.0578	-920.8213	11.092592	-12.4520445	2.3913074	-4.9561367	-13.269895	3000	-0.021656686	575171.7	-0.0015137568	-4318.875	2.8340898	0.0006358826	3.1723999977111816
5	-801.551	116.24558	-322.274	-886.4	12.391304	-15.46001	2.3540905	-7.387758	-16.15788	3600	0.026833292	456510.94	-0.0017468184	-3317.5938	2.8099597	-0.0004045129	3.773906946182251
6	-825.0312	93.205734	-350.3002	-905.5788	11.423077	-17.939276	2.53338	-9.801162	-18.734264	4200	0.03573841	560212.5	-0.001521796	-4175.875	2.7398713	0.00048834045	4.386731386184692
7	-833.771	105.39538	-277.05338	-886.4	7.3875	-20.374062	3.0169878	-12.737342	-21.571133	4800	0.019671017	485371.1	-0.0018937066	-3682.4688	2.7631204	0.00023858726	4.987203598022461
8	-835.6465	71.71833	-641.2702	-886.4	7.234568	-23.07846	2.7497885	-16.167267	-24.175638	5400	-0.008034401	501576.47	-0.0015815198	-3887.625	2.729233	0.0003127704	5.497185468673706
9	-836.1412	75.957245	-603.8348	-886.4	9.810345	-26.139744	2.1791286	-19.541126	-26.860878	6000	0.02112779	501676.62	-0.0012993757	-3739.4375	2.7355018	0.00045571048	5.972745656967163
10	-824.8536	117.9402	-255.90956	-907.0242	12.122449	-28.973112	1.9374397	-22.547373	-29.558308	6600	-0.05635816	513925.22	-0.0019811392	-3841.8125	2.7600536	-3.4134388e-05	6.748348236083984
11	-817.2216	99.03883	-479.16544	-904.4425	11.591837	-31.732819	1.8871953	-25.473738	-32.30325	7200	0.027146397	457355.62	-0.000860326	-3384.8438	2.7071295	-0.00013499359	7.284791469573975
12	-810.3113	91.8398	-502.8282	-896.99426	13.636364	-34.40552	1.7150288	-28.309055	-34.889446	7800	-0.020734884	488026.5	-0.0016062837	-3790.5938	2.7310038	0.00046796323	7.846259832382202
13	-814.128	126.003044	-140.50056	-895.27	11.745098	-37.06111	1.7974347	-31.226128	-37.615894	8400	-0.012959321	469178.78	-0.001107499	-3573.7812	2.745518	7.019301e-05	8.388896942138672
14	-817.73285	93.26711	-534.31006	-886.4	12.166667	-39.769253	1.6626859	-34.193714	-40.265915	9000	-0.0015068864	451216.22	-0.001587108	-3458.25	2.7384367	0.00034092984	8.926526069641113
15	-822.59674	99.74319	-408.94196	-886.4	9.912281	-42.31604	1.7049768	-37.10407	-42.874763	9600	-0.0029671716	423284.03	-0.0011919246	-3154.8438	2.7776651	-0.0001677823	9.46261739730835
16	-809.58905	131.80557	-364.25293	-925.4803	13.204545	-44.962486	1.4133344	-39.99903	-45.365448	10200	-0.07200572	426127.03	-0.0014309436	-3155.7188	2.7940915	-0.00010063946	9.98714828491211
17	-819.669	88.66019	-523.368	-886.4	12.061225	-47.446785	1.4152257	-42.753025	-47.87423	10800	-0.025447836	452377.06	-0.001062762	-3539.7812	2.7395597	8.783261e-05	10.527540683746338
