Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-816.42004	52.4344	-664.8505	-871.6862	10.679245	-1.8417877	1.141905	2.4014983	-3.3329926	600	-3.3775964e-07	606397.1	-0.049079113	-6022.6875	0.008828133	0.0	0.7132549285888672
1	-810.0716	65.7575	-626.7455	-890.01074	12.543478	-5.8567076	0.688086	-0.9625269	-6.331135	1200	1.18811926e-07	599536.7	-0.040410075	-4318.0625	0.009497175	0.0	1.0973529815673828
2	-803.98193	57.863304	-660.15564	-878.9332	15.684211	-8.525553	1.2440252	1.8757315	-9.173952	1800	1.223882e-07	579797.4	-0.05933783	-4257.1875	0.009071937	0.0	1.48567795753479
3	-795.87775	76.73358	-633.8055	-892.20886	21.444445	-11.038377	1.9918028	3.597073	-11.994853	2400	-1.04904174e-07	563395.5	-0.03515404	-4644.6875	0.009091291	0.0	1.878253698348999
4	-758.6567	73.19397	-527.28564	-846.4798	26.045454	-14.2102785	1.2807204	0.22621441	-14.607327	3000	-1.5894573e-08	511541.28	-0.038961224	-3583.4062	0.0092226565	0.0	2.286029815673828
5	-770.6042	93.52756	-408.7355	-862.3873	24.458334	-16.805876	0.8250265	-4.8577414	-17.159948	3600	6.357829e-08	536618.4	-0.036350954	-3457.375	0.008122749	0.0	2.677323818206787
6	-767.6017	73.744286	-606.1742	-881.01215	32.88889	-19.049124	1.6300716	-1.4539654	-19.70871	4200	2.5351844e-07	547192.6	-0.03937906	-3621.0	0.008426834	0.0	3.065995693206787
7	-707.3911	90.391884	-530.0853	-874.1132	30.894737	-21.548834	0.8910073	-14.228651	-22.181877	4800	1.17619834e-07	444844.8	-0.04029206	-2908.125	0.0075969473	0.0	3.4470410346984863
8	-740.87024	96.691765	-497.27213	-866.84705	26.086956	-23.748072	0.8082475	-20.847597	-24.483013	5400	8.642674e-08	477440.1	-0.046939623	-3053.8438	0.008649045	0.0	3.8377366065979004
9	-683.3241	71.63458	-498.48868	-796.36316	35.17647	-25.898014	1.595029	-1.3562589	-26.835102	6000	1.223882e-07	436018.16	-0.03224744	-2939.2188	0.0059032347	0.0	4.227079391479492
10	-669.74347	105.41348	-398.5986	-865.1353	31.666666	-28.139565	1.0367157	-27.026617	-29.106085	6600	-4.887581e-08	371513.0	-0.036276434	-2318.7188	0.009499322	1.0	4.75674033164978
11	-676.5094	78.58268	-494.16238	-801.4169	33.941177	-30.110176	1.1388975	-28.891495	-31.175518	7200	1.6053518e-07	397369.12	-0.041142654	-2510.4062	0.008617583	0.0	5.138066530227661
