Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-164.0408	267.61435	-24.954958	-886.4	23.36	-31.452553	1.2079026	-25.777214	-31.711079	16800	-7.152557e-09	5320.976	-0.02181134	-47.70703	1.7428664	0.009855932	0.145	79.0	18.15255093574524
28	-78.00108	30.520866	-25.687742	-144.72778	26.5	-32.110764	1.1070985	-26.565767	-32.333084	17400	-3.973643e-08	2983.8728	-0.024505159	-66.84619	1.7869985	0.016156115	0.19333333	18.0	18.703440189361572
29	-91.829865	170.08794	-31.026659	-886.4	25.434782	-32.853718	1.1334308	-27.301178	-33.0864	18000	1.4305114e-08	1970.1577	-0.017998476	-21.614014	1.8476298	0.003795058	0.155	79.0	19.362709760665894
30	-47.506126	17.743643	-24.132904	-88.56794	26.818182	-33.323215	1.101719	-27.805271	-33.54508	18600	-4.0233136e-08	502.3774	-0.016964756	-7.58844	1.8404003	0.016179707	0.11333334	9.0	20.121583461761475
31	-60.61807	23.307663	-28.414644	-117.43101	26.772728	-33.601105	1.1013659	-28.0848	-33.822132	19200	1.1324882e-08	1246.1027	-0.03950828	-25.682495	1.9476509	0.01575593	0.20166667	72.0	20.700753450393677
32	-56.96497	21.611984	-21.459276	-112.01289	26.863636	-34.089577	1.104641	-28.556974	-34.311867	19800	9.814898e-08	975.28033	-0.024085337	-20.754517	1.8856031	0.016328735	0.22166666	17.0	21.221781730651855
33	-81.61775	168.23463	-23.976833	-867.2221	25.652174	-34.54601	1.1302656	-29.008986	-34.778095	20400	-3.1789145e-09	2711.119	-0.018240115	-8.801758	1.8520732	0.007593517	0.18333334	79.0	21.86109948158264
34	-79.69524	165.84676	-20.043802	-851.47125	25.695652	-34.858433	1.1169968	-29.38645	-35.08797	21000	-3.33786e-08	3881.7063	-0.019366873	-8.30542	1.8289769	0.00194792	0.135	79.0	22.573899507522583
35	-55.738976	19.527649	-22.944996	-97.85447	27.0	-35.165848	1.0798118	-29.757524	-35.38274	21600	9.298324e-08	802.7289	-0.043137543	-18.27649	1.8316723	0.0086827455	0.22166666	79.0	23.303362607955933
36	-43.892605	12.32512	-23.979458	-71.09265	26.90909	-35.618	1.0801405	-30.208082	-35.83522	22200	-6.039937e-08	216.1863	-0.037416514	-3.607727	1.7546004	0.012474399	0.20333333	79.0	24.01533007621765
37	-60.60614	28.540754	-21.480757	-142.76294	26.772728	-35.844276	1.0797212	-30.436384	-36.06093	22800	-4.5696893e-08	1433.6003	-0.027736343	-27.519897	1.7626184	0.015473917	0.16333333	17.0	24.617267608642578
38	-90.42229	170.76459	-29.677404	-886.4	25.47826	-36.40253	1.1046199	-30.991125	-36.62924	23400	-2.0662943e-08	1893.0869	-0.017282192	-18.715698	1.7814527	0.014734513	0.11333334	79.0	25.323052883148193
39	-84.23409	172.27434	-20.17361	-886.4	25.782608	-36.903137	1.0885266	-31.570559	-37.12652	24000	-6.357829e-09	1785.3596	-0.015086244	-8.640869	1.7128279	0.0007501229	0.08166666	79.0	26.032251596450806
40	-49.338356	23.418003	-22.428873	-117.75868	26.772728	-37.258907	1.0470811	-32.014534	-37.46927	24600	-5.801519e-08	692.43463	-0.037466474	-7.868225	1.783195	0.0147035755	0.21833333	79.0	26.846922397613525
41	-42.073917	15.028228	-21.628109	-71.021065	26.772728	-37.5946	1.0448472	-32.361374	-37.804276	25200	-2.6226044e-08	240.26532	-0.03831181	-1.248703	1.7420726	0.004701133	0.22	79.0	27.362929582595825
42	-44.361027	13.800056	-19.941347	-73.58668	26.772728	-37.74335	1.0429803	-32.51947	-37.952637	25800	-2.1457673e-08	231.58775	-0.035153743	-2.4241028	1.7084098	0.0077396585	0.19166666	79.0	27.935622453689575
43	-49.180843	19.434528	-22.192348	-113.33465	27.0	-37.933323	1.0413392	-32.71768	-38.142372	26400	9.139379e-09	509.84927	-0.02428492	-7.585266	1.8409997	0.01603461	0.23333333	25.0	28.481587886810303
