Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-814.99854	56.472065	-658.9819	-883.61346	9.459017	0.50653976	0.31061074	1.58236	-0.1093968	600	8.8214875e-08	558539.6	-0.045520242	-6583.875	0.009117	0.0	0.6881935596466064
1	-766.3953	80.30167	-585.4355	-871.0006	15.078947	-4.237453	0.9692753	-0.6481124	-5.0851088	1200	3.8146972e-08	483057.28	-0.03882179	-4731.5312	0.008678055	0.0	1.069551706314087
2	-789.005	95.62348	-407.90866	-876.08234	11.384615	-7.5311847	1.9426619	-1.4148597	-8.278432	1800	4.45048e-08	489317.12	-0.035607986	-3649.9375	0.008534992	0.0	1.4340975284576416
3	-766.80914	96.248955	-539.1309	-878.91534	16.514286	-10.470052	1.9297373	-2.840193	-10.974472	2400	3.5762786e-09	432429.66	-0.03898614	-3287.5625	0.009634147	0.0	1.782872200012207
4	-771.4446	92.27769	-505.1231	-882.26666	14.341463	-12.949217	2.3462021	-4.3986893	-13.602484	3000	6.953875e-08	444391.53	-0.033703946	-3425.875	0.0067485175	1.0	2.159242630004883
5	-733.1031	126.35939	-430.84387	-879.69214	18.09091	-15.702706	2.2590747	-6.4860883	-16.26171	3600	-2.5570392e-07	378570.78	-0.026294746	-3042.875	0.009471671	0.0	2.531064510345459
6	-702.50024	181.56897	-175.97452	-869.223	17.515152	-18.20133	2.3614767	-8.615932	-18.79634	4200	5.642573e-08	327467.12	-0.03533797	-2491.0312	0.0087462645	0.0	2.9070112705230713
7	-687.34344	147.32378	-364.9888	-866.20825	22.26923	-20.64286	2.1281881	-10.839159	-21.108118	4800	-6.67572e-08	337003.88	-0.026041746	-2705.875	0.006655404	0.0	3.270528793334961
8	-686.49207	216.30302	-124.68581	-880.03503	15.076923	-22.837402	2.606315	-13.085635	-23.536598	5400	1.4305114e-08	249827.92	-0.03480863	-1996.3281	0.0074335416	0.0	3.6390275955200195
9	-667.8593	213.31445	-208.95299	-872.8458	16.666666	-25.034643	2.3597827	-15.694458	-25.632828	6000	-7.092953e-08	242869.81	-0.03237862	-2021.4375	0.006769596	0.0	4.002535581588745
10	-658.1746	235.72217	-191.69821	-873.5092	15.0	-27.14306	2.3373284	-18.278439	-27.761547	6600	-1.0967255e-07	195527.27	-0.029949047	-1582.9688	0.005692711	2.0	4.497936248779297
11	-602.12067	224.37288	-146.18219	-868.9778	20.857143	-29.247213	1.9095012	-20.774302	-29.67923	7200	-1.1821588e-07	208863.92	-0.03895196	-1790.7188	0.008088841	0.0	4.850698471069336
12	-608.10876	228.83434	-155.08191	-881.47345	20.928572	-31.340212	1.8627629	-23.07468	-31.761591	7800	-2.2133192e-07	217297.06	-0.029044434	-1893.2656	0.008739354	0.0	5.197167158126831
13	-509.3554	263.45093	-119.903175	-879.085	22.153847	-33.542336	1.774928	-25.476372	-33.93621	8400	-3.695488e-08	142012.75	-0.029616058	-1192.25	0.007580945	0.0	5.635299921035767
14	-545.97614	284.36926	-91.05628	-868.52057	18.060606	-35.21381	1.9791608	-22.714375	-35.71482	9000	7.073084e-08	125061.23	-0.03276614	-1068.2656	0.008276726	0.0	5.988126277923584
15	-443.64502	302.74432	-56.589214	-877.9335	19.466667	-36.983803	1.7242448	-29.596754	-37.387306	9600	4.45048e-08	61345.945	-0.031977188	-537.0664	0.006716835	0.0	6.3439154624938965
16	-503.97372	314.65582	-106.6167	-872.51697	17.30303	-38.20138	1.7170671	-31.19568	-38.62351	10200	1.3113022e-08	83034.25	-0.0383109	-621.9453	0.007344391	0.0	6.691568374633789
17	-368.65878	289.90433	-29.318174	-883.7121	21.25	-39.597534	1.4974686	-32.952915	-39.936234	10800	1.2318293e-07	44034.715	-0.025139239	-405.95312	0.008511034	0.0	7.040437936782837
18	-355.27643	321.9497	-36.549877	-882.48615	20.275862	-40.716576	1.4687189	-34.3146	-41.054283	11400	-4.9869218e-08	32338.08	-0.026798058	-243.32617	0.007670738	0.0	7.405136585235596
19	-357.78946	328.63205	-36.926952	-884.3096	19.2	-41.599003	1.4354249	-35.44932	-41.934967	12000	5.801519e-08	24691.477	-0.027876867	-180.53516	0.008050451	0.0	7.760282754898071
20	-316.33047	324.21124	-45.140305	-864.82477	19.633333	-42.375866	1.372897	-36.494053	-42.697002	12600	-7.311503e-08	18877.492	-0.029976772	-125.109375	0.0063184905	0.0	8.242746591567993
21	-362.14337	340.87335	-23.291306	-881.1065	18.59375	-43.01636	1.3573607	-37.39192	-43.34605	13200	-1.5894573e-08	27871.494	-0.030986527	-182.65234	0.0066587143	0.0	8.61014437675476
22	-256.28094	315.7714	-18.988565	-877.5192	20.428572	-43.84852	1.2285233	-38.46271	-44.13086	13800	3.1789146e-08	12154.0	-0.034112316	-58.674805	0.0055666654	0.0	8.957459688186646
23	-240.68181	297.5889	-34.86706	-866.3601	21.518518	-44.349056	1.1564581	-39.12215	-44.60583	14400	-2.3841858e-08	11949.323	-0.029278422	-65.146484	0.0071686753	0.0	9.312078475952148
24	-229.2	323.5397	-25.586868	-882.4363	20.241379	-44.83569	1.1639267	-39.762287	-45.10337	15000	1.66893e-08	7793.7173	-0.038039457	-16.704102	0.0041497415	0.0	9.68432092666626
25	-188.1297	277.78656	-20.251358	-855.4835	21.296297	-45.11482	1.0904284	-40.186337	-45.356735	15600	-2.8610229e-08	5932.618	-0.036466364	-19.128418	0.003123403	0.0	10.039361715316772
26	-132.39197	211.05821	-26.162497	-846.77966	23.24	-45.41093	1.0282258	-40.579746	-45.6305	16200	7.947286e-09	3709.0837	-0.029383942	-14.338379	0.005327327	0.0	10.396766185760498
27	-133.08878	211.78555	-24.72842	-864.11676	22.884615	-45.660324	1.0339233	-40.897316	-45.885334	16800	9.536743e-09	3732.9375	-0.03442888	-16.395508	0.0031731531	0.0	10.75391674041748
28	-127.50627	213.72826	-32.35774	-852.69965	23.12	-45.94453	1.0047845	-41.232628	-46.16132	17400	-1.11262e-08	3287.1685	-0.03265629	-9.440918	0.002951236	0.0	11.103341817855835
29	-107.775856	161.19208	-35.486618	-869.00085	23.958334	-46.169174	0.97259426	-41.504803	-46.372456	18000	1.11262e-08	2694.103	-0.028768195	-16.691895	0.0044033886	0.0	11.459989309310913
30	-159.3845	250.8182	-29.688173	-875.9658	22.037037	-46.436947	1.0193329	-41.82979	-46.663013	18600	-2.4636586e-08	4786.6724	-0.039224032	-18.242188	0.002751838	0.0	11.945632696151733
31	-119.787506	216.0111	-24.041792	-877.1722	22.884615	-46.75697	0.9834989	-42.22625	-46.970997	19200	0.0	2752.2712	-0.034408994	-4.845215	0.0019178219	0.0	12.305246114730835
32	-91.58817	156.51192	-28.137487	-850.57996	24.0	-46.942997	0.9340145	-42.46365	-47.138275	19800	1.7484028e-08	1760.8842	-0.03057151	-4.74646	0.0027149955	0.0	12.662781715393066
33	-102.940094	159.86179	-22.099455	-848.53625	23.958334	-47.109676	0.92640376	-42.666836	-47.30349	20400	7.947286e-09	2999.1416	-0.029461289	-13.213379	0.0044994773	0.0	13.01303482055664
34	-72.602455	31.191881	-29.973244	-142.55585	24.625	-47.391125	0.91979915	-42.97994	-47.58337	21000	-9.934108e-09	1577.1165	-0.028577292	-15.753174	0.007406686	0.0	13.375632762908936
35	-71.66454	30.299036	-18.626022	-124.788826	24.791666	-47.712265	0.9189875	-43.304993	-47.904526	21600	2.577901e-08	1449.8037	-0.033286933	-14.638794	0.007886709	0.0	13.73208999633789
36	-70.44867	27.229908	-26.01403	-121.82732	25.130434	-48.038338	0.9010356	-43.624207	-48.222805	22200	2.0066897e-08	1216.7092	-0.030394377	-13.561035	0.008224891	0.0	14.080220937728882
37	-75.45548	28.37317	-44.38235	-154.93877	24.958334	-48.343372	0.9187669	-43.93716	-48.535587	22800	-1.2119611e-08	1574.3903	-0.024991672	-21.350464	0.009353269	0.0	14.449466228485107
38	-67.341644	29.93545	-18.65997	-121.05208	24.666666	-48.738567	0.9188357	-44.332005	-48.930607	23400	4.2915346e-08	1218.9767	-0.01684412	-10.64624	0.009797689	0.0	14.803702592849731
39	-78.73682	30.706509	-29.850784	-148.86023	24.791666	-49.034214	0.91836554	-44.629906	-49.226196	24000	-3.218651e-08	1808.5946	-0.022643548	-26.032959	0.0082410835	0.0	15.169463872909546
40	-70.78987	40.09642	-23.170944	-220.63528	25.217392	-49.49167	0.90035444	-45.080887	-49.676064	24600	1.08281775e-08	2175.9526	-0.018994454	-15.862549	0.006911829	1.0	15.667789220809937
41	-71.892944	27.876617	-29.837906	-119.635895	24.25	-49.857388	0.9180151	-45.45477	-50.049316	25200	-3.2583873e-08	1209.4236	-0.02545404	-15.206177	0.008064808	0.0	16.02501678466797
42	-93.01239	153.87723	-31.842768	-838.9714	23.8	-50.21603	0.934604	-45.82471	-50.41545	25800	2.5431316e-08	1678.6931	-0.02776759	-6.211914	0.0049482463	0.0	16.379550218582153
43	-65.62769	16.47396	-38.37963	-109.68299	24.958334	-50.46817	0.9079311	-46.113907	-50.657986	26400	6.377697e-08	496.7914	-0.022136953	-8.235382	0.007835064	0.0	16.72566318511963
44	-68.00979	28.287775	-24.669744	-115.749405	25.043478	-50.75355	0.8884306	-46.401188	-50.935513	27000	-1.0331472e-08	1049.1221	-0.023543198	-10.533447	0.008174194	0.0	17.072640895843506
45	-56.506847	25.436485	-30.596226	-142.73921	24.708334	-51.068134	0.90519744	-46.726986	-51.257416	27600	1.7881394e-08	694.09814	-0.029561767	-1.4957275	0.009061581	0.0	17.43026900291443
46	-94.89242	158.33728	-27.645935	-848.3736	24.25	-51.20536	0.9039587	-46.870167	-51.394554	28200	1.5894573e-08	1583.1289	-0.030276397	-5.803955	0.0029067239	0.0	17.778693675994873
47	-66.36137	24.86611	-34.23426	-131.67612	24.833334	-51.445118	0.8933624	-47.16072	-51.631863	28800	-3.0199686e-08	810.82056	-0.03006957	-9.01593	0.008006839	0.0	18.125661373138428
48	-57.91981	23.548527	-22.062033	-119.61599	24.958334	-51.7603	0.8910163	-47.487167	-51.94667	29400	-6.357829e-09	611.43317	-0.0153162	-2.1253052	0.0066237333	1.0	18.508830547332764
49	-58.534542	23.829666	-28.414478	-127.01114	24.956522	-51.935852	0.8725379	-47.661343	-52.1146	30000	5.8611236e-09	562.5595	-0.02593228	-1.6890869	0.009715711	0.0	18.863833904266357
50	-97.77436	160.44286	-19.020582	-855.9349	24.333334	-52.072475	0.88827795	-47.81247	-52.258297	30600	9.536743e-09	2019.7013	-0.025822094	-9.075928	0.0080384305	0.0	19.366257429122925
51	-62.483154	26.534307	-30.754375	-124.898735	25.52174	-52.40533	0.85926235	-48.19586	-52.581337	31200	4.2319297e-08	816.0248	-0.027078688	-5.6904297	0.00805859	0.0	19.72119402885437
52	-57.273563	20.538206	-26.515566	-110.191635	25.73913	-52.684544	0.85695153	-48.486397	-52.86014	31800	1.3113022e-08	448.89056	-0.022093227	-1.2903442	0.008943827	0.0	20.066545009613037
53	-89.14545	157.831	-19.710785	-831.8545	24.25	-52.819393	0.8725405	-48.634857	-53.001724	32400	1.5894572e-09	1990.0325	-0.028448462	-1.6833496	0.005597896	0.0	20.484223127365112
54	-58.837364	27.93034	-21.153675	-110.645775	25.52174	-52.97188	0.8427082	-48.843502	-53.144466	33000	-8.543332e-09	812.02484	-0.02291898	-2.1933594	0.0071527865	0.0	20.84219002723694
55	-51.55332	17.065268	-27.228367	-78.725624	25.434782	-53.15103	0.8400362	-49.035744	-53.323147	33600	-2.0662943e-08	284.94983	-0.027835924	-0.10195923	0.009195234	0.0	21.173917531967163
56	-57.789616	23.721878	-21.644058	-92.33516	25.304348	-53.1229	0.83812445	-49.01698	-53.29467	34200	4.5696893e-08	559.5887	-0.028117752	-0.89959717	0.008967035	0.0	21.552751064300537
57	-64.91978	39.200607	-23.84968	-193.68527	25.652174	-53.233646	0.8363157	-49.136585	-53.404972	34800	-3.6160152e-08	1705.7269	-0.028176991	-8.347778	0.00788248	0.0	21.89828062057495
58	-55.72356	22.920635	-26.828766	-144.49556	25.695652	-53.595226	0.83520824	-49.503597	-53.76631	35400	4.1127205e-08	555.7022	-0.027523378	-0.58709717	0.008783463	0.0	22.247040033340454
59	-80.20987	159.67729	-21.044214	-841.03986	24.458334	-53.70802	0.8500671	-49.63128	-53.885956	36000	3.1789145e-09	1418.3257	-0.030725403	-1.84021	0.004751516	0.0	22.61116075515747
