Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-834.011	74.59817	-645.64954	-886.4	13.761905	-0.62483096	0.1810957	0.0	-0.69803566	600	7.152558e-08	573706.9	-0.039485168	-4790.0625	2.6452649	0.005438473	0.24833333	79.0	1.1473872661590576
1	-837.93774	71.47589	-633.56165	-903.86847	17.78125	-3.95497	0.8453832	-0.6643025	-5.498558	1200	4.9273172e-08	594781.25	-0.02022637	-6185.3125	2.6352067	0.01788709	0.09166667	15.0	1.7259559631347656
2	-816.5719	91.3605	-629.247	-886.4	14.425	-8.004141	1.7560126	-1.5516442	-8.516503	1800	1.2477238e-07	498956.6	-0.022383891	-3405.5625	2.5448222	0.015581709	0.18333334	26.0	2.3127739429473877
3	-791.7683	137.87169	-296.48276	-886.4	14.641026	-10.501379	2.0171196	-2.9855824	-11.068595	2400	9.377798e-08	428189.38	-0.03420221	-2942.5938	2.5603602	0.005115993	0.17833333	79.0	2.8985443115234375
4	-718.2482	148.17522	-315.4975	-886.4	23.72	-13.061553	1.7820201	-4.7498894	-13.464945	3000	9.616216e-08	405428.44	-0.044339795	-3053.8125	2.461231	-9.118557e-05	0.2	79.0	3.5236704349517822
5	-758.02655	134.8189	-354.0397	-886.4	19.129032	-15.427237	2.129445	-6.469522	-15.942982	3600	-6.9936114e-08	411249.53	-0.04000127	-3175.0	2.4557412	0.015131254	0.16833334	62.0	4.150535821914673
6	-708.925	148.44725	-347.7355	-886.4	24.458334	-18.06744	1.9476677	-8.727106	-18.476236	4200	-1.5894573e-08	378429.9	-0.026343018	-2946.375	2.4391568	0.015942605	0.265	19.0	4.7235236167907715
7	-643.5577	210.73482	-270.76794	-886.4	23.04	-20.517887	2.0363317	-10.950164	-20.952866	4800	1.4305115e-07	255850.03	-0.041307904	-1980.0312	2.3528159	0.009100077	0.195	79.0	5.3846845626831055
8	-617.6811	185.56937	-334.20563	-886.4	26.545454	-22.64248	1.9070337	-13.090903	-23.024809	5400	-7.4307124e-08	255502.69	-0.03829365	-2078.7656	2.274463	0.005050622	0.15166667	79.0	6.009780168533325
9	-652.23926	199.84456	-336.76572	-886.4	22.653847	-24.710875	2.0505702	-15.2645035	-25.157482	6000	9.536743e-08	248308.69	-0.036410917	-2107.5469	2.3947058	0.014588704	0.17333333	79.0	6.659832239151001
10	-568.628	223.60158	-195.48094	-886.4	24.695652	-26.942976	1.8721828	-17.771326	-27.326443	6600	5.2452087e-08	183088.8	-0.027358549	-1529.25	2.342483	0.015662879	0.23166667	24.0	7.497403621673584
11	-625.1739	244.64137	-266.27255	-886.4	20.285715	-28.777637	1.9866135	-19.962465	-29.22606	7200	8.106232e-08	184045.81	-0.040871218	-1531.4688	2.3033361	0.0024098412	0.195	79.0	8.159852027893066
12	-616.6185	261.91058	-133.43689	-886.4	19.193548	-30.65894	1.9539287	-22.42696	-31.123726	7800	-9.139379e-09	168455.92	-0.03314824	-1491.8906	2.2479408	0.01574549	0.25333333	33.0	8.71678352355957
13	-433.7476	266.58655	-80.60511	-886.4	25.26087	-32.70024	1.576552	-24.976828	-33.023033	8400	-9.616216e-08	103480.68	-0.046685565	-868.21094	2.0747387	0.0069814483	0.28	79.0	9.329370975494385
14	-385.98764	266.6273	-99.71473	-886.4	24.583334	-34.217983	1.5558822	-26.756275	-34.54309	9000	-2.3841858e-08	62092.88	-0.036843378	-576.5703	2.096928	-0.002025262	0.15333334	79.0	9.963866233825684
15	-353.41763	282.23868	-83.91557	-886.4	23.958334	-35.4858	1.5070696	-28.258205	-35.80088	9600	2.0662943e-08	43299.848	-0.04881512	-380.57422	1.9779133	0.007712581	0.265	79.0	10.634439706802368
16	-397.39362	303.17685	-88.55131	-886.4	22.192308	-36.514942	1.510113	-29.558859	-36.844376	10200	-2.1457673e-08	51407.51	-0.023206867	-435.5664	2.080133	0.015946241	0.165	20.0	11.207470655441284
17	-262.05292	253.57	-34.757843	-886.4	25.434782	-37.68294	1.3614953	-31.013037	-37.9614	10800	3.576279e-08	28249.354	-0.023336647	-242.14062	1.9446956	0.017051203	0.145	18.0	11.777152299880981
18	-153.1392	169.48227	-35.876305	-886.4	26.727272	-38.582554	1.3004067	-32.069256	-38.84272	11400	3.8146972e-08	11153.366	-0.03403102	-94.38281	1.8559622	0.0053420975	0.19666667	79.0	12.457243919372559
19	-234.75935	287.77374	-28.627064	-886.4	23.4	-39.12584	1.3638821	-32.71752	-39.41662	12000	-1.4305114e-08	12250.528	-0.030925926	-82.771484	1.8496004	0.012524425	0.19833334	79.0	13.112016916275024
20	-167.43947	225.27814	-24.862698	-886.4	25.434782	-39.67903	1.2735871	-33.439774	-39.93948	12600	3.33786e-08	7595.07	-0.02870322	-56.884766	1.7618276	0.0063230395	0.21166667	79.0	13.965778827667236
21	-118.40408	168.6377	-31.395031	-886.4	26.0	-40.129147	1.2614899	-34.018154	-40.39245	13200	3.1789145e-09	4964.043	-0.029051991	-33.967773	1.8076566	0.0134066595	0.20833333	79.0	14.589729070663452
