Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-826.25244	96.05451	-369.7491	-912.947	11.875	2.2218082	0.8558993	3.3879626	0.0	600	2.113978e-07	544187.4	-0.03732934	-7881.4375	0.009052183	0.0	1.1458146572113037
1	-811.7509	84.155365	-610.91656	-886.4	11.979167	-3.6036947	1.1080264	-0.6562647	-5.158418	1200	-7.78834e-08	501755.84	-0.040672846	-5914.25	0.00968666	0.0	1.6969187259674072
2	-793.7017	126.71907	-359.25677	-886.4	13.431818	-7.9220786	1.8983412	-1.591536	-8.886988	1800	7.2320304e-08	449949.75	-0.035508607	-3780.2188	0.008423005	0.0	2.249830961227417
3	-738.857	222.01935	-120.537506	-886.4	13.651163	-10.8454895	2.244973	-2.9952009	-11.575639	2400	-1.056989e-07	309210.9	-0.035882074	-2295.0	0.008805979	0.0	2.8218181133270264
4	-709.7093	197.86067	-292.95798	-886.4	18.290323	-13.326027	2.0743184	-4.6167827	-13.848531	3000	-7.5499216e-08	289442.2	-0.033039883	-2321.375	0.0081900405	0.0	3.399641275405884
5	-641.80396	279.85938	-114.58332	-886.4	16.162163	-15.536191	2.4021583	-6.308603	-16.179522	3600	-8.543332e-08	188204.6	-0.03608741	-1477.7344	0.0064922334	0.0	3.9709315299987793
6	-696.7411	258.6274	-66.45796	-886.4	13.690476	-17.364529	2.5631952	-8.145778	-18.089197	4200	1.2715658e-08	201773.44	-0.03470171	-1620.25	0.0072047375	0.0	4.543607234954834
7	-629.6786	270.3171	-93.98806	-886.4	17.9375	-19.535883	2.2008607	-10.41774	-20.077631	4800	-1.0251999e-07	179434.14	-0.031190706	-1535.7969	0.0036692193	0.0	5.1147754192352295
8	-700.0183	255.44273	-51.525963	-886.4	13.926829	-21.396568	2.4625523	-12.502707	-22.0973	5400	2.7020773e-08	208152.88	-0.034294356	-1819.0625	0.007963443	0.0	5.6304943561553955
9	-689.74896	289.57736	-76.19404	-886.4	11.0	-23.45364	2.6252143	-15.11406	-24.28916	6000	-1.947085e-08	140174.31	-0.041257013	-1201.8281	0.0056760907	0.0	6.180976390838623
10	-501.6156	329.5276	-64.84937	-886.4	19.166666	-25.625017	1.8345116	-17.765835	-26.056479	6600	-5.4041546e-08	93251.37	-0.031302746	-741.4375	0.00747125	0.0	7.103617906570435
11	-531.6838	354.74155	-26.462915	-886.4	15.864865	-27.042143	1.9687574	-19.471027	-27.556509	7200	-8.742014e-09	66597.875	-0.028689248	-508.3828	0.0074239634	0.0	7.664707899093628
12	-452.83017	351.09317	-20.83217	-886.4	18.709677	-28.3888	1.7303267	-21.09893	-28.801477	7800	1.2715658e-08	44852.14	-0.024991274	-374.57422	0.009832468	0.0	8.22871470451355
13	-454.99988	386.62997	-33.96064	-886.4	16.13889	-29.446827	1.7894403	-22.466818	-29.908327	8400	-9.934108e-09	31982.143	-0.03413488	-180.00195	0.007067186	0.0	8.799025297164917
14	-386.55295	374.47156	-35.696762	-886.4	18.451612	-30.290056	1.5799928	-23.634233	-30.667974	9000	-9.536743e-08	24500.193	-0.032506168	-142.35156	0.009451959	0.0	9.369759321212769
15	-354.3127	383.4342	-27.600893	-886.4	18.6875	-30.992285	1.5391939	-24.61236	-31.365938	9600	-1.2715658e-08	21887.117	-0.029680874	-82.72461	0.0063286084	0.0	9.944909811019897
16	-351.73624	389.0659	-20.754015	-886.4	18.375	-31.539303	1.4894664	-25.42798	-31.905853	10200	1.5894573e-08	17853.854	-0.02946894	-62.097656	0.006877943	0.0	10.511530637741089
17	-268.71713	355.4059	-21.052631	-886.4	20.857143	-32.06217	1.3284779	-26.167429	-32.363285	10800	1.2715658e-08	11212.391	-0.031872243	-35.50586	0.005454607	0.0	11.078572988510132
18	-287.12848	362.7744	-22.298962	-886.4	19.933332	-32.421112	1.3310835	-26.721914	-32.735405	11400	4.7683715e-09	12587.959	-0.03870783	-45.604492	0.0045791157	0.0	11.644042730331421
