Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-778.45074	86.61917	-580.2949	-886.03375	14.692307	-1.0693595	1.3653271	1.6253669	-3.6022868	600	-8.34465e-09	465151.25	-0.042661794	-6846.625	0.008688843	0.0	0.7371237277984619
1	-776.7255	82.14056	-587.41815	-866.9418	16.457144	-6.21199	0.9985036	-4.015496	-7.2573404	1200	-9.8546344e-08	490339.2	-0.035258263	-5153.3125	0.007498723	0.0	1.1146728992462158
2	-712.1913	141.7173	-375.48566	-871.53064	19.0	-9.975054	0.20383109	-9.733159	-10.148036	1800	1.5497207e-08	358921.72	-0.048735682	-2924.4375	0.0076657343	0.0	1.502302646636963
3	-666.6929	174.58745	-157.6842	-873.44275	23.84	-12.535474	0.25509796	-11.665212	-12.694919	2400	-2.682209e-08	359354.28	-0.033696763	-3054.3125	0.0060992143	0.0	1.8883252143859863
4	-611.045	178.31573	-96.02715	-881.00397	28.571428	-15.19075	0.26850522	-14.107552	-15.292784	3000	-5.801519e-08	326651.34	-0.040781476	-2911.5	0.008281249	0.0	2.264652729034424
5	-593.554	192.24802	-131.31978	-870.4151	28.0	-17.827896	0.0768936	-16.4964	-17.832344	3600	-1.9232432e-07	304661.25	-0.035152428	-2558.6875	0.00779679	0.0	2.6475830078125
6	-512.674	175.94925	-220.01128	-829.33954	32.166668	-20.278635	0.00019808923	-20.273788	-20.278645	4200	-1.5497207e-08	254129.78	-0.029792856	-2121.0938	0.006838226	0.0	3.020078182220459
7	-401.1916	217.3421	-79.18421	-843.76056	28.428572	-22.52524	0.12232797	-20.917242	-22.535149	4800	1.2874604e-07	152930.52	-0.038535066	-1241.3438	0.0076698433	0.0	3.420011281967163
8	-405.53333	231.92944	-102.235085	-886.535	27.045454	-24.31665	7.1637805e-06	-24.316475	-24.31665	5400	7.947286e-09	136833.77	-0.038933363	-1125.0469	0.0081132045	0.0	3.8028016090393066
9	-310.97824	157.6282	-119.2846	-862.364	28.380953	-26.028362	6.031566e-07	-26.02835	-26.028362	6000	-5.5631002e-08	81422.16	-0.030308664	-780.3047	0.00616324	0.0	4.176886081695557
10	-245.85754	104.13286	-56.9978	-468.27548	28.333334	-27.50123	0.078077406	-25.590342	-27.504435	6600	-1.11262004e-07	61909.48	-0.032319643	-588.96094	0.007894701	0.0	4.698575735092163
11	-230.29912	170.18849	-49.77495	-870.4586	26.818182	-28.80682	0.13776496	-26.832455	-28.816587	7200	5.642573e-08	43008.32	-0.026272938	-390.95312	0.007333833	0.0	5.083024740219116
12	-184.4021	77.0513	-25.190432	-348.55264	27.380953	-29.919544	1.9073486e-06	-29.919542	-29.919546	7800	5.7021776e-08	30159.38	-0.02825307	-300.54102	0.006775116	0.0	5.461981296539307
13	-192.93336	206.78125	-25.76285	-842.7392	24.25	-30.901875	0.12154021	-28.787941	-30.908913	8400	3.1789145e-09	18282.94	-0.046501372	-159.4336	0.0064594736	0.0	5.853853940963745
14	-148.45317	158.97142	-41.194344	-858.14874	25.086956	-31.654804	0.08700456	-29.525414	-31.65836	9000	-1.2000402e-07	10734.785	-0.03652522	-104.390625	0.0047480646	0.0	6.238730192184448
