Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-804.3583	64.6278	-619.7779	-879.7447	11.384615	0.5572854	0.27343825	1.60155	-0.11601037	600	1.0808309e-07	539866.06	-0.017285137	-7456.3125	0.003093407	3.0	0.6856329441070557
1	-819.74634	52.473724	-672.72565	-881.5144	15.486486	-4.6437182	1.1100428	-0.6492864	-5.770231	1200	4.9273172e-08	579681.25	-0.020760044	-5223.3125	0.0037023178	0.0	1.0624144077301025
2	-778.6353	66.99567	-651.71576	-866.3663	15.384615	-8.217618	1.7866545	-1.5005156	-8.832144	1800	3.0775865e-07	524096.22	-0.03844266	-4125.2188	0.006694266	0.0	1.440016508102417
3	-775.1606	76.707	-614.1818	-884.9307	14.425	-11.004303	2.220073	-2.850316	-11.678266	2400	2.3841858e-07	468946.25	-0.0337492	-3435.5938	0.008053741	0.0	1.8200130462646484
4	-757.7322	107.473595	-474.91873	-877.5531	19.096775	-13.723861	2.1530252	-4.66205	-14.248179	3000	-7.78834e-08	442706.53	-0.02713532	-3322.5312	0.009167424	0.0	2.1884260177612305
5	-757.1813	81.657616	-621.4745	-856.83264	19.225807	-16.265532	2.2860346	-6.637865	-16.816227	3600	5.0465268e-08	465342.2	-0.024557808	-3576.6562	0.007915467	0.0	2.5600509643554688
6	-748.2251	112.2376	-456.68176	-876.7019	19.032259	-18.915348	2.353403	-9.000591	-19.476227	4200	-1.2119611e-07	402522.8	-0.025102982	-3131.875	0.008716474	0.0	2.954969644546509
7	-778.8168	95.922966	-568.0258	-879.8972	15.578947	-21.299873	2.5661578	-11.567996	-21.981655	4800	-9.536743e-09	433974.72	-0.029223932	-3411.8125	0.008253102	0.0	3.344945192337036
8	-739.721	116.50698	-366.1276	-879.4741	19.161291	-24.029512	2.2260711	-14.660571	-24.568644	5400	-1.6450882e-07	401881.6	-0.028376676	-3197.0938	0.008235484	0.0	3.749081611633301
9	-674.5985	114.912254	-476.70776	-841.5292	27.619047	-26.75615	1.7994591	-17.53285	-27.108818	6000	-8.34465e-08	361882.03	-0.030649312	-2837.2188	0.008052112	0.0	4.105810642242432
10	-679.8002	131.98567	-455.3622	-860.8478	25.26087	-29.15579	1.8706676	-19.99165	-29.53909	6600	3.576279e-08	332926.78	-0.027255002	-2653.4062	0.0077936067	0.0	4.600537538528442
11	-678.602	158.7581	-224.07915	-864.1639	22.153847	-31.462135	1.943643	-22.538847	-31.898558	7200	1.3868014e-07	307123.3	-0.03202945	-2448.1562	0.00611417	0.0	4.94243311882019
12	-621.5992	191.068	-234.20871	-882.3443	23.625	-33.799328	1.7906963	-25.21195	-34.175083	7800	-4.4107438e-08	253183.25	-0.026636805	-1972.5	0.007172785	0.0	5.266497611999512
13	-536.29144	163.12505	-252.55511	-858.5865	31.052631	-35.96501	1.5451013	-27.644709	-36.253902	8400	4.2120615e-08	236129.06	-0.029839559	-1938.6562	0.007495276	0.0	5.626531362533569
14	-643.07355	195.24698	-348.2241	-870.9623	20.178572	-37.927235	1.8172923	-29.86344	-38.337696	9000	-1.569589e-07	220398.03	-0.026948137	-1812.2656	0.006912238	0.0	5.954882621765137
