Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-834.011	74.59817	-645.64954	-886.4	13.761905	-0.62483096	0.1810957	0.0	-0.69803566	600	-0.08325111	573706.9	-0.0018258542	-4790.0625	2.6452649	-0.00017327865	1.1890270709991455
1	-849.23114	65.47731	-640.72363	-934.2804	15.128205	-3.8939462	0.9172047	-0.6643025	-5.498557	1200	0.0011458413	654595.5	-0.0010622455	-6680.5	2.6898355	0.00038471937	1.808692455291748
2	-812.87384	74.01705	-670.2898	-891.2268	17.142857	-8.151934	1.6269578	-1.6431301	-8.594677	1800	-0.0011144812	588056.56	-0.0018395345	-4041.8125	2.7043037	-5.6968133e-06	2.4267499446868896
3	-822.05835	82.71045	-601.2231	-917.267	17.558823	-10.798301	1.9466428	-3.009744	-11.314613	2400	-0.008859698	586873.0	-0.0010703597	-4021.9375	2.6761158	-0.000119063654	3.053863286972046
4	-826.1908	71.595436	-557.5423	-886.4	15.783784	-13.397072	2.2411354	-4.8223376	-14.004621	3000	-0.0853116	582391.25	-0.0010514334	-3956.8125	2.6904137	-0.00020694057	3.7371761798858643
5	-843.0439	62.634636	-633.2628	-913.7057	13.363636	-15.934061	2.5131207	-7.112513	-16.658482	3600	-0.04622042	608850.4	-0.00081925094	-4171.75	2.7341177	0.00010173599	4.357239246368408
6	-825.201	73.55672	-645.9521	-892.8185	17.0	-18.809458	2.2118244	-9.922893	-19.362164	4200	-0.006457135	569366.2	-0.00084767956	-3886.375	2.6581597	0.00021390438	4.95346736907959
7	-829.3078	75.43983	-648.5827	-887.69366	12.1875	-21.229994	2.5816424	-12.57296	-22.002125	4800	-0.04956609	524850.44	-0.00072907656	-3691.7188	2.7061913	-0.00022158107	5.567458629608154
8	-839.62946	67.06935	-630.8715	-886.4	11.333333	-23.775425	2.4946833	-15.677067	-24.546461	5400	-0.116688386	545999.9	-0.00090593845	-3814.8125	2.661289	-0.0002301842	6.177318811416626
9	-830.017	72.895325	-654.93616	-886.4	12.595745	-26.471485	2.2319174	-18.902739	-27.13128	6000	-0.07460683	533553.1	-0.00035768002	-3838.6875	2.7111366	7.757942e-05	6.798065423965454
10	-809.3627	88.92224	-619.29443	-887.39056	19.161291	-29.33509	1.7378017	-22.013641	-29.748377	6600	-0.021191763	529475.0	-0.001058206	-3797.375	2.618291	-9.499828e-05	7.654337406158447
11	-820.29254	72.85888	-634.35657	-886.4	18.774193	-31.979584	1.705391	-24.794682	-32.38518	7200	-0.091632195	537785.5	-0.0009568557	-3809.6875	2.6171553	-0.00011065066	8.215004920959473
