Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-843.7198	62.530632	-663.1404	-889.4943	8.382353	-1.526335	0.5817013	0.0	-3.1664271	600	1.7086664e-07	555532.94	-0.03044042	-5695.625	0.005431541	1.0	0.6693758964538574
1	-848.6263	62.219852	-616.5224	-928.8334	9.6	-5.6154304	1.6477891	-0.7894806	-6.4928255	1200	-8.90096e-08	596375.4	-0.03724398	-5557.4375	0.008323651	0.0	1.0415725708007812
2	-837.34784	70.876816	-535.92145	-905.03516	9.145162	-9.269151	2.555582	-1.8824872	-10.444722	1800	0.0	531179.6	-0.03528945	-4023.8125	0.0079840105	0.0	1.4101502895355225
3	-829.3778	86.16802	-532.9084	-889.3094	9.459017	-12.173542	2.9595423	-3.4765944	-13.4272375	2400	-8.583069e-08	483090.34	-0.037839107	-3670.8125	0.0070972587	0.0	1.7715678215026855
4	-827.4979	98.30465	-397.9126	-890.19324	8.275362	-14.767184	3.3699207	-5.4987226	-16.013178	3000	1.4424324e-07	454381.0	-0.039179217	-3258.9688	0.0072169527	0.0	2.1250991821289062
5	-836.87744	92.0569	-364.0136	-891.4866	8.083333	-17.24005	3.444999	-7.985669	-18.535133	3600	9.536743e-09	475878.66	-0.034953423	-3566.3438	0.0068725203	0.0	2.5108907222747803
6	-827.5371	93.2886	-467.45697	-890.6656	9.370968	-20.078753	3.164296	-10.8406925	-21.167744	4200	-1.3510386e-07	465335.7	-0.03301042	-3565.3438	0.006968058	0.0	2.8763914108276367
7	-783.1786	135.1613	-350.96957	-889.7014	13.021739	-23.040674	2.7220259	-13.704446	-23.83837	4800	9.8546344e-08	384441.44	-0.034340087	-3082.3438	0.007921189	0.0	3.2415771484375
8	-772.1432	144.74226	-414.38315	-890.928	15.131579	-25.712818	2.4862287	-16.283474	-26.370195	5400	1.513958e-07	357293.38	-0.03479944	-2795.8438	0.00894628	0.0	3.591944456100464
9	-763.2022	137.53235	-502.98804	-889.7951	16.277779	-28.182621	2.4187222	-18.747885	-28.804514	6000	6.755193e-08	349781.2	-0.028023545	-2866.4062	0.00809626	0.0	3.9282259941101074
10	-770.44904	131.34346	-442.73303	-889.1154	14.512196	-30.57877	2.5448487	-21.302935	-31.278324	6600	-8.662542e-08	360036.62	-0.031728186	-3016.7188	0.008560205	0.0	4.397745847702026
