Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-823.3118	68.702225	-690.7577	-886.4	12.083333	0.74915487	0.34227875	2.063906	0.0	600	-3.536542e-08	587216.2	-0.04124139	-6132.5625	2.6013927	0.016476825	0.5316667	22.0	1.2601523399353027
1	-830.7595	72.73032	-656.28503	-909.32025	10.101695	-3.2988386	0.8821693	-0.7246474	-3.9664829	1200	4.5696893e-08	605755.06	-0.042059258	-5642.0625	2.60111	0.005652502	0.32333332	79.0	2.01438045501709
2	-835.9498	70.95756	-649.26337	-886.4	9.810345	-7.026496	1.773452	-1.7116809	-8.028933	1800	-1.3868014e-07	530655.3	-0.042096395	-3764.875	2.505082	0.006540402	0.29833335	79.0	2.769026041030884
3	-804.38525	104.455025	-424.35428	-886.4	15.789474	-9.979824	1.8125955	-3.020441	-10.471121	2400	8.742015e-08	506781.53	-0.04199912	-3626.0	2.419474	0.005581196	0.24166666	79.0	3.5211281776428223
4	-748.5646	122.881516	-429.70804	-886.4	21.037037	-12.710553	1.8373288	-4.4116135	-13.1284895	3000	9.139379e-09	402301.28	-0.030510161	-2900.3125	2.2613323	0.0075558512	0.14666666	79.0	4.271526575088501
5	-788.2799	110.01506	-597.6334	-886.4	17.558823	-14.98025	2.2838948	-5.804343	-15.552146	3600	2.0106633e-07	453030.94	-0.034607932	-3410.7188	2.4134953	0.0070310766	0.23666666	79.0	5.0262291431427
6	-732.84515	138.96767	-479.75848	-886.4	21.846153	-17.682402	2.1505966	-7.775694	-18.152946	4200	-4.2120615e-08	364762.06	-0.03039174	-2729.0625	2.26264	0.0052386466	0.20166667	79.0	5.76821231842041
7	-695.4623	207.6214	-249.4238	-886.4	19.6	-19.853994	2.4906237	-9.697489	-20.528404	4800	9.695689e-08	301733.25	-0.033593293	-2318.5	2.209885	0.015306066	0.31166667	43.0	6.447545289993286
8	-641.83124	218.20296	-267.50217	-886.4	21.62963	-22.190218	2.2958896	-11.819815	-22.703512	5400	7.5499216e-08	240707.06	-0.04650066	-1869.0938	2.2990477	0.006446537	0.24666667	79.0	7.194626569747925
9	-653.4023	229.69362	-143.96739	-886.4	20.5	-24.186077	2.3245838	-13.878968	-24.714964	6000	-2.22524e-08	237728.27	-0.024584182	-1835.5156	2.1027172	0.017671356	0.125	11.0	7.8318915367126465
10	-628.94714	268.87665	-109.389404	-886.4	18.28125	-26.1381	2.42143	-16.108438	-26.727074	6600	2.3841857e-09	188283.5	-0.02155561	-1455.4219	2.3131216	0.016525855	0.15666667	16.0	8.755682468414307
11	-380.27103	258.76215	-69.5295	-886.4	25.863636	-28.153288	1.945914	-18.41868	-28.5468	7200	3.1789146e-08	74746.49	-0.04007193	-595.1094	2.2273197	0.0067261434	0.32666665	79.0	9.492666482925415
12	-545.0905	339.9335	-75.647255	-886.4	16.18919	-29.150352	2.4344382	-19.788263	-29.784693	7800	3.0994414e-08	76485.39	-0.047385316	-550.8203	2.2147648	0.0060936254	0.27	79.0	10.230971336364746
13	-444.35596	339.49478	-41.91344	-886.4	19.5	-30.39306	2.1070168	-20.354969	-30.907042	8400	1.0331472e-08	50689.234	-0.03697222	-364.9336	2.217706	0.011205435	0.23833333	79.0	10.986109256744385
14	-335.76004	336.35202	-21.319187	-886.4	22.0	-31.464949	1.8453596	-23.124323	-31.873978	9000	4.6094257e-08	31971.113	-0.023106182	-191.85938	2.0507333	0.017489051	0.24	23.0	11.629370927810669
15	-265.46866	315.83682	-26.809551	-886.4	23.04	-32.220287	1.7607195	-23.320904	-32.608326	9600	-1.5894573e-08	16615.414	-0.032969628	-94.93164	2.0053663	0.0114346985	0.265	79.0	12.384140253067017
16	-255.78683	338.0559	-29.498009	-886.4	21.88889	-32.75037	1.7348393	-24.909285	-33.135044	10200	0.0	10115.114	-0.025851915	-39.972656	1.8087487	0.0009132425	0.12833333	79.0	13.120447635650635
17	-129.06474	230.66176	-25.06238	-886.4	25.0	-33.152584	1.5580891	-25.51957	-33.47133	10800	-1.4305114e-08	4423.0005	-0.021502372	-13.922363	1.8224341	0.009650864	0.1	79.0	13.854167699813843
18	-156.03401	277.03348	-26.139582	-886.4	24.0	-33.357174	1.5653785	-25.850319	-33.68521	11400	-3.1789145e-09	4682.215	-0.021072045	-8.586426	1.7567904	0.01020008	0.14333333	79.0	14.602454900741577
19	-161.39171	275.02084	-22.017307	-886.4	23.958334	-33.50495	1.5875136	-23.714275	-33.843	12000	1.5894573e-08	4888.087	-0.020701367	-13.031738	1.6506481	0.009586612	0.17	79.0	15.342540264129639
20	-138.63478	235.5115	-27.577856	-886.4	25.173914	-33.735355	1.4767376	-26.500885	-34.0375	12600	-3.1789145e-09	6217.993	-0.027712544	-21.22998	1.56142	0.0151675735	0.16333333	79.0	16.402960538864136
21	-65.17061	31.15284	-19.696669	-119.51763	26.818182	-34.011993	1.4510031	-26.880327	-34.313988	13200	6.4969065e-08	1929.2275	-0.024134722	-18.158325	1.359546	0.015389087	0.145	32.0	17.07024073600769
22	-163.00273	274.5795	-22.169888	-886.4	24.041666	-34.261665	1.4833916	-27.147745	-34.572067	13800	4.2915346e-08	5002.328	-0.021247122	-15.418945	1.5994834	0.014521071	0.093333334	79.0	17.8216655254364
23	-96.58561	169.82832	-31.780972	-886.4	25.956522	-34.522415	1.4257299	-27.537825	-34.81419	14400	1.5894573e-08	2426.9424	-0.02366919	-13.916016	1.4379679	0.013169687	0.17333333	79.0	18.5674786567688
24	-39.33646	14.664309	-22.024652	-81.57756	26.954546	-34.784336	1.3837475	-27.8536	-35.06129	15000	1.1920929e-08	232.58623	-0.030560618	-0.5908661	1.4260899	0.0071385494	0.21	79.0	19.3074152469635
25	-122.07804	236.81163	-20.60496	-886.4	25.043478	-34.838066	1.4093001	-27.934	-35.126713	15600	-3.1789145e-09	3142.245	-0.019229302	-5.9123535	1.4554377	0.0069097406	0.11666667	79.0	20.04810404777527
26	-87.98016	171.2885	-19.872543	-886.4	26.043478	-34.993107	1.387265	-28.196945	-35.276894	16200	-3.1789146e-08	1889.5454	-0.01815127	-6.9935303	1.4105875	0.0061606853	0.09166667	79.0	20.79868459701538
27	-110.64209	234.2348	-22.800852	-886.4	24.833334	-35.168476	1.4001514	-28.453604	-35.461025	16800	2.3841858e-08	2648.3062	-0.015456291	-2.2355957	1.3934138	0.0015706198	0.09833334	79.0	21.524341106414795
28	-140.07787	275.8197	-20.93728	-886.4	23.84	-35.252476	1.4003477	-28.672815	-35.551216	17400	4.8478444e-08	3826.05	-0.01714871	-2.8642578	1.3804111	0.0024454503	0.086666666	79.0	22.262014865875244
29	-81.57025	176.89592	-19.237541	-886.4	26.09091	-35.367752	1.2832196	-28.940529	-35.624645	18000	-3.1789145e-09	1741.7297	-0.0168991	-2.180664	1.38732	0.012617046	0.095	79.0	23.015055894851685
30	-38.186245	8.862161	-25.26796	-62.215332	27.272728	-35.483753	1.2401379	-29.127232	-35.72652	18600	5.5631002e-08	88.597946	-0.022865921	-0.24020386	1.4197218	0.015541059	0.20666666	16.0	24.026875972747803
31	-77.102646	173.05817	-21.514996	-886.4	26.043478	-35.50443	1.289819	-29.185673	-35.76851	19200	3.1789145e-09	1438.114	-0.014689332	-1.185669	1.3504384	0.00069250504	0.11	79.0	24.882434844970703
32	-74.53174	167.16547	-19.851183	-855.2572	26.086956	-35.590897	1.2504532	-29.32883	-35.84217	19800	3.0199686e-08	3641.885	-0.015010393	-2.9804688	1.2886826	0.005689188	0.14666666	79.0	25.679303646087646
33	-109.30863	228.81259	-21.363304	-886.4	24.958334	-35.670753	1.2868358	-29.49936	-35.939987	20400	4.7683715e-09	4762.3345	-0.010792562	-3.6542969	1.3626096	0.016995786	0.15833333	9.0	26.307380437850952
34	-45.479458	26.188524	-20.910604	-133.12955	27.136364	-35.832726	1.2109118	-29.767673	-36.0752	21000	1.8676122e-08	795.9332	-0.028307091	-2.8711548	1.177415	0.016791025	0.145	13.0	26.918025970458984
35	-77.64547	173.1968	-20.985916	-886.4	26.043478	-35.968338	1.2319684	-29.932978	-36.220467	21600	1.2715658e-08	1529.6892	-0.014309124	-1.5789795	1.2649047	0.015709374	0.11333334	27.0	27.571082830429077
36	-36.88713	13.477271	-16.926098	-71.3879	27.181818	-36.083225	1.1928048	-30.10886	-36.32201	22200	1.390775e-09	185.10197	-0.007962465	-0.053588867	1.1872164	0.018872423	0.07833333	5.0	28.159078359603882
