Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-643.13214	197.65172	-211.48112	-878.4739	21.846153	0.5541573	0.77929705	1.4809327	-1.4225466	600	8.245309e-08	282967.53	-0.0191017	-5633.2812	0.0070057283	0.0	0.8045620918273926
1	-533.992	177.60997	-249.91516	-879.1432	29.65	-5.1123257	0.12624945	-4.385011	-5.1375775	1200	1.4662743e-07	258548.31	-0.029945225	-2666.8438	0.008073367	0.0	1.2125980854034424
2	-598.6739	225.80235	-169.12642	-872.36163	23.36	-7.84837	0.1101098	-6.9017444	-7.8613524	1800	1.4742216e-07	262256.1	-0.02538451	-2517.9062	0.0051998137	0.0	1.6340055465698242
3	-443.63364	210.665	-184.06935	-852.8544	28.238094	-10.497966	3.8933592e-08	-10.497965	-10.497966	2400	-4.7683717e-08	163055.52	-0.025408404	-1643.4062	0.006372524	0.0	2.0743489265441895
4	-417.02994	195.34785	-204.41241	-868.50616	27.285715	-12.6993685	9.536743e-07	-12.699368	-12.699368	3000	1.5894572e-09	118427.17	-0.024897221	-1295.3828	0.00960566	0.0	2.592648506164551
5	-386.01453	229.09618	-148.35017	-861.1184	25.695652	-14.698042	1.0122734e-06	-14.698017	-14.698042	3600	4.9273172e-08	92092.414	-0.03224613	-1033.3047	0.008638025	0.0	2.985637664794922
6	-329.0116	203.67459	-142.59186	-845.6349	26.045454	-16.5368	1.9073486e-06	-16.536798	-16.536798	4200	-2.7020773e-08	64748.508	-0.030443646	-762.8086	0.006477916	0.0	3.3912084102630615
7	-299.85672	193.35138	-118.67397	-855.2392	26.90909	-18.169954	1.3486991e-07	-18.169952	-18.169954	4800	-4.529953e-08	63402.746	-0.029394226	-772.9453	0.007636142	0.0	3.778930187225342
8	-306.5496	184.81326	-151.39035	-877.3978	27.227272	-19.84456	5.6085996e-06	-19.844423	-19.84456	5400	-3.8146972e-08	60667.273	-0.035094146	-838.89844	0.00866665	0.0	4.156452655792236
9	-246.58177	135.41171	-154.7859	-806.6993	27.904762	-21.628813	3.210546e-07	-21.628805	-21.628813	6000	6.5962475e-08	44748.805	-0.014490966	-631.78125	0.0025349346	0.0	4.506421327590942
10	-192.29996	51.800766	-86.990395	-288.47278	28.47619	-23.231745	2.1996618e-06	-23.231718	-23.231743	6600	-1.2079875e-07	31813.424	-0.02913035	-490.49414	0.009429096	0.0	4.978888511657715
11	-159.89192	70.78639	-43.001247	-288.3768	27.809525	-24.676855	1.9073486e-06	-24.676857	-24.676857	7200	-3.3775965e-08	23536.646	-0.022243034	-326.01562	0.0064908643	0.0	5.332442998886108
12	-158.27037	54.91868	-60.77541	-271.6756	27.619047	-25.892628	7.7867185e-08	-25.892626	-25.892628	7800	1.3510386e-07	20630.139	-0.018119792	-315.70312	0.0063361917	0.0	5.704648971557617
13	-137.99728	51.81334	-49.043392	-280.1631	27.333334	-27.104704	5.722046e-06	-27.104698	-27.104698	8400	4.45048e-08	15017.432	-0.020772174	-232.49121	0.008621014	0.0	6.084388017654419
14	-159.30566	157.74088	-53.45852	-873.76636	25.826086	-28.181686	7.7867185e-08	-28.181684	-28.181686	9000	1.0331472e-08	12815.593	-0.028886905	-205.9248	0.0051330714	0.0	6.456563234329224
15	-125.66763	51.018303	-48.640766	-228.09837	26.863636	-29.214111	7.7867185e-08	-29.21411	-29.214111	9600	-8.90096e-08	12263.803	-0.028064625	-202.74707	0.008573705	0.0	6.8204591274261475
16	-138.81148	157.75563	-36.428	-836.7545	25.695652	-30.26067	3.8400444e-06	-30.260658	-30.260666	10200	-3.0994414e-08	10106.641	-0.029563913	-143.05762	0.0056967237	0.0	7.175377607345581
17	-122.36902	159.13878	-42.081802	-858.0049	24.833334	-31.17105	1.9073486e-06	-31.171047	-31.171047	10800	1.9073486e-08	6723.8926	-0.027977237	-91.430176	0.0058860113	0.0	7.540762662887573
18	-86.34543	43.99836	-29.69849	-193.75902	26.272728	-31.9189	3.1146874e-07	-31.918892	-31.9189	11400	-3.4769375e-08	4910.777	-0.02471543	-71.96484	0.009923508	0.0	7.901406764984131
19	-70.83823	28.949272	-30.034412	-123.44284	26.0	-32.593723	3.8146973e-06	-32.593727	-32.593727	12000	7.073084e-08	2333.7976	-0.016845606	-40.001465	0.007816852	0.0	8.256412744522095
20	-65.39036	28.560396	-29.366781	-136.25305	25.869566	-33.116024	0.0	-33.116024	-33.116024	12600	-2.9404958e-08	1864.0925	-0.02392643	-28.836914	0.009172037	0.0	8.760342359542847
