Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-848.5236	57.5033	-690.9855	-898.10754	9.459017	-0.9756893	0.38060212	0.0	-1.8386323	600	-2.5073686e-07	595940.4	-0.035069566	-5431.3125	2.7676978	0.016412837	0.06	16.0	1.784914493560791
1	-816.9221	86.56505	-586.88947	-886.4	12.595745	-4.6913104	1.231565	-0.6813667	-5.338962	1200	-2.1855037e-08	527736.56	-0.026515318	-5135.0625	2.7601957	0.015442686	0.31	24.0	2.918818712234497
2	-790.90857	137.30902	-272.2256	-903.60114	14.8	-8.368862	1.8918391	-1.5692923	-9.188925	1800	-4.2915346e-08	457277.44	-0.031918697	-3494.125	2.7704668	0.015911028	0.21333334	24.0	3.632343053817749
3	-731.1922	153.24532	-354.4058	-886.4	20.689655	-11.272463	1.9083946	-2.8183763	-11.722239	2400	1.6411146e-07	377292.84	-0.045848053	-2953.8438	2.6787746	0.012669753	0.29333332	79.0	4.422388792037964
4	-771.554	147.3479	-368.51266	-886.4	14.948718	-13.536407	2.4965577	-4.205388	-14.222507	3000	6.3975655e-08	360808.1	-0.029272763	-2794.0625	2.6674702	0.016391896	0.25833333	25.0	5.0803632736206055
5	-671.249	201.94815	-281.31293	-886.4	21.285715	-16.137682	2.2338538	-6.2321205	-16.647802	3600	-9.616216e-08	277363.0	-0.036610045	-2264.0938	2.557983	0.012630424	0.27	79.0	5.81390118598938
6	-697.1737	230.98813	-237.20786	-886.4	16.055555	-18.222528	2.5952892	-8.101124	-18.89377	4200	-1.66893e-07	233122.23	-0.028917495	-1844.5312	2.581853	0.015087911	0.17833333	55.0	6.537607908248901
7	-703.6822	228.70636	-262.21796	-886.4	15.128205	-20.220163	2.634626	-10.363454	-20.927813	4800	1.0331472e-07	225951.2	-0.038204074	-1895.3125	2.6184127	0.0113852	0.21333334	79.0	7.533949851989746
8	-530.13434	252.81593	-171.13406	-886.4	23.958334	-22.580097	2.0141082	-12.920906	-23.001556	5400	5.801519e-08	155794.64	-0.037165582	-1322.2812	2.548203	0.01552577	0.28	33.0	8.28290605545044
9	-638.04987	270.30807	-162.17921	-886.4	16.305555	-24.200153	2.424103	-14.76304	-24.830967	6000	-2.8212865e-08	154053.97	-0.04331072	-1350.1562	2.555166	0.007930791	0.325	79.0	9.090259075164795
10	-534.05164	286.15546	-154.43791	-886.4	20.964285	-26.190973	2.0437765	-17.125246	-26.654827	6600	-1.4305114e-08	133446.75	-0.045018014	-1155.8594	2.5275147	0.004266921	0.24	79.0	10.190254926681519
11	-540.7286	287.05972	-156.01323	-886.4	20.37931	-27.94985	2.0171804	-19.157188	-28.413422	7200	-8.106232e-08	122183.305	-0.040602654	-1126.3281	2.4381573	0.0128291305	0.23833333	79.0	10.94638442993164
